"DateTime";"Luftfugtighed"
"2020-02-01 00:00:00";92.4
"2020-02-02 00:00:00";81.7
"2020-02-03 00:00:00";92.8
"2020-02-04 00:00:00";84.7
"2020-02-05 00:00:00";82.5
"2020-02-06 00:00:00";89.9
"2020-02-07 00:00:00";94.6
"2020-02-08 00:00:00";88.5
"2020-02-09 00:00:00";88.8
"2020-02-10 00:00:00";83.2
"2020-02-11 00:00:00";86.3
"2020-02-12 00:00:00";86.1
"2020-02-13 00:00:00";88.1
"2020-02-14 00:00:00";89.2
"2020-02-15 00:00:00";93.6
"2020-02-16 00:00:00";89.1
"2020-02-17 00:00:00";79.8
"2020-02-18 00:00:00";84.5
"2020-02-19 00:00:00";88.7
"2020-02-20 00:00:00";94
"2020-02-21 00:00:00";85.1
"2020-02-22 00:00:00";83.7
"2020-02-23 00:00:00";80.6
"2020-02-24 00:00:00";85.9
"2020-02-25 00:00:00";88.5
"2020-02-26 00:00:00";84.4
"2020-02-27 00:00:00";88.4
"2020-02-28 00:00:00";85.7
"2020-02-29 00:00:00";91.4
